医保2.0手术代码,医保2.0手术名称
00.0100,头和颈部血管治疗性超声
00.0200,心脏治疗性超声
00.0900,其他治疗性超声
00.1100,重组人类活化C蛋白输注
00.1200,吸入一氧化氮管理
00.1300,奈西立肽注射或输注
00.1400,噁唑烷酮类抗生素注射或输注
00.1500,大剂量白细胞介素-2[IL-2]输注
00.1600,药物的静脉旁路移植[引导]加压疗法
00.1800,输注免疫抑制抗体疗法
00.2100,颅外脑血管的血管内显像
00.2200,胸内血管的血管内显像
00.2300,周围血管的血管内显像
00.2400,冠状血管的血管内显像
00.2500,肾血管的血管内显像
00.2900,血管内显像
00.3100,CT/CTA的计算机辅助外科手术
00.3200,MR/MRA的计算机辅助外科手术
00.3400,非显像导航计算机辅助外科手术
00.3500,多数据的计算机辅助外科手术
00.3900,其他计算机辅助外科手术
00.4300,四根或更多根血管操作
00.4400,分支血管操作
00.4800,置入四根或更多根血管支架
00.5000,心脏再同步起搏器置入未提及去除心脏纤颤，全系统[CRT-P]
00.5100,心脏再同步除颤器置入，全系统[CRT-D]
00.5200,置入或置换经静脉入左心室冠状静脉系统的导线[电极]
00.5300,仅置入或置换心脏再同步起搏器脉冲发生器[CRT-P]
00.5400,仅置入或置换心脏再同步除颤器脉冲发生器装置[CRT-D]
00.5500,其他周围血管药物洗脱支架置入
00.5600,置入或置换植入型压力传感器与导线，用于心内或大血管血液动力学监测
00.5900,冠状动脉血管内压力测量
00.6100,颅外血管经皮血管成形术
00.6200,颅内血管经皮血管成形术
00.6400,其他颅外动脉支架经皮置入
00.6500,颅内血管支架经皮置入
00.6600,经皮冠状动脉腔内血管成形术[PTCA]
00.6700,胸内动脉的血管内压力测量
00.6800,周围动脉的血管内压力测量
00.6900,血管内压力测量，其他特指的和未特指的血管
00.7000,髋关节置换修复术，双髋臼和股骨成分
00.7100,髋关节置换修复术，髋臼成分
00.7200,髋关节置换修复术，股骨成分
00.7300,髋关节修复术伴仅髋臼衬垫置换和（或）股骨头
00.8000,膝关节置换修复术，全部（所有成分）
00.8100,膝关节置换修复术，胫骨成分
00.8200,膝关节置换修复术，股骨成分
00.8300,膝关节置换修复术，髌骨成分
00.8400,全膝关节置换修复术，胫骨置入（衬垫）
00.8500,髋关节表面置换，全部，髋臼和股骨头
00.8600,髋关节表面置换，部分的，股骨头
00.8700,髋关节表面置换，部分的，髋臼
01.0200,经以前植入导管的脑室穿刺
01.0900,其他颅的穿刺
01.1000,颅内压监测
01.1100,闭合性[经皮][针吸]脑膜活组织检查
01.1300,闭合性[经皮][针吸]大脑活组织检查
01.1600,颅内氧监测
01.1700,脑温度监测
01.1800,大脑和脑膜其他诊断性操作
01.2000,颅神经刺激脉冲发生器植入或置换
01.2100,脑静脉窦切开引流术
01.2400,其他颅骨切开术
01.2500,其他颅骨切除术
01.3100,脑膜切开术
01.3200,脑叶切开术和(神经)束切断术
01.3900,脑的其他切开术
01.4100,丘脑手术
01.4200,苍白球手术
01.5100,脑膜病损或组织的切除术
01.5300,脑叶切除术
01.5900,大脑病损或组织的其他切除术或破坏术
02.0100,颅缝切开术
02.0200,颅骨骨折碎片提升术
02.0300,颅骨瓣形成
02.0400,颅骨骨移植术
02.0500,颅骨(金属)板置入术
02.0600,其他颅骨成形术
02.1100,硬脑膜单纯缝合术
02.1200,脑膜其他修补术
02.1300,脑膜血管结扎术
02.1400,脉络丛切除术
02.2100,脑室外引流[EVD]装置置入或置换
02.2200,颅内脑室分流或吻合术
02.3100,脑室分流术至头和颈部结构
02.3200,脑室分流至循环系统
02.3300,脑室分流至胸腔
02.3400,脑室分流术至腹腔和腹部器官
02.3500,脑室分流至泌尿系统
02.3900,脑室颅外分流术
02.4100,脑室分流管的冲洗术和探查术
02.4200,脑室分流管置换术
02.4300,脑室分流管去除术
02.9300,颅内神经刺激器导线植入或置换术
02.9400,颅钳或环状钳牵引装置的置入或置换
02.9500,颅钳或环状钳牵引装置去除
02.9900,颅、脑和脑膜的其他手术
03.0100,去除椎管异物
03.0900,椎管其他探查术和减压术
03.1x00,脊髓内神经根切断
03.2100,经皮的脊髓(前侧柱)切断术
03.2900,其他脊髓(前侧柱)切断术
03.3100,脊髓放液
03.3200,脊髓或脊膜活组织检查
03.4x00,脊髓或脊膜病损的切除术或破坏术
03.5100,脊膜膨出修补术
03.5200,脊髓脊膜膨出修补术
03.5300,脊椎骨折修补术
03.5900,脊髓结构的其他修补术和成形术
03.6x00,脊髓和神经根粘连的松解术
03.7900,脊髓膜其他分流
03.8x00,椎管内破坏性药物注射
03.9000,椎管的导管置入，为治疗性或姑息治疗性药物的输注
03.9100,为镇痛的椎管麻醉药注射
03.9200,椎管其他药物的注射
03.9300,脊髓神经刺激器导线置入或置换
03.9400,去除脊髓神经刺激器导线
03.9700,脊髓膜分流术的修复术
03.9800,去除脊髓膜分流术
03.9900,脊髓和椎管结构的其他手术
04.0100,听神经瘤切除术
04.0200,切断三叉神经
04.0300,其他颅的和周围神经切断术或压轧术
04.0400,颅的和周围神经的其他切开术
04.0600,其他颅或周围神经节切除术
04.0700,颅和周围神经的其他切除术或撕脱术
04.1100,闭合性[经皮][针吸]颅或周围神经或神经节的活组织检查
04.1200,开放性颅或周围神经或神经节的活组织检查
04.2x00,颅和周围神经的破坏术
04.3x00,颅和周围神经的缝合术
04.4100,三叉神经根的减压术
04.4200,其他脑神经减压术
04.4900,其他周围神经或神经节粘连的减压术或松解术
04.5x00,颅或周围神经移植术
04.6x00,颅和周围神经的移位术
04.7400,颅或周围神经的其他吻合术
04.7500,颅和周围神经以前修补术的修复术
04.7600,颅和周围神经陈旧性创伤的修补术
04.8100,周围神经麻醉药注射，为了镇痛
04.9200,周围神经刺激器导线的置入或置换
04.9300,去除周围神经刺激器导线
05.0x00,交感神经或神经节的切断术
05.1100,交感神经或神经节的活组织检查
05.2400,骶前交感神经切除术
05.2900,其他交感神经切除术和神经节切除术
05.3200,神经破坏药交感神经注射
05.8100,交感神经或神经节的修补术
05.8900,交感神经或神经节的其他手术
06.0100,甲状腺区抽吸
06.0200,甲状腺区伤口的再切开
06.0900,甲状腺区的其他切开术
06.1100,闭合性[经皮][针吸]甲状腺活组织检查
06.1300,甲状旁腺活组织检查
06.3900,其他部分甲状腺切除术
06.8900,其他甲状旁腺切除术
06.9100,切断甲状腺峡部
06.9400,甲状腺组织再植入
06.9500,甲状旁腺组织再植入
06.9900,甲状旁腺其他手术
07.2900,其他部分肾上腺切除术
07.4100,肾上腺切开术
07.4500,肾上腺组织再植入
07.5100,松果腺区探查术
07.5200,松果腺切开术
07.5400,松果腺全部切除术
07.6100,垂体腺部分切除术，经前额入路
07.6200,垂体腺部分切除术，经蝶骨入路
07.6300,垂体腺部分切除术
07.6400,垂体腺全部切除术，经前额入路
07.6900,垂体腺全部切除术
07.7200,垂体腺切开术
07.7900,垂体其他手术
07.8200,胸腺其他全部切除术
07.9200,胸腺其他切开术
07.9900,其他和未特指的胸腺手术
08.0900,眼睑其他切开术
08.2000,去除眼睑病损
08.2200,眼睑其他较小的病损切除术
08.2300,眼睑较大的病损切除术，板层
08.2400,眼睑较大的病损切除术，全层
