icd9v6.01编码,实际操作名称v6.01,属性v6.01,录入选项v6.01
00.01001,头部血管治疗性超声,治疗性操作,必选
00.01002,颈部血管治疗性超声,治疗性操作,必选
00.02001,心脏治疗性超声,治疗性操作,必选
00.03001,周围血管治疗性超声,治疗性操作,必选
00.10001,化学治疗药物置入,治疗性操作,必选
00.11001,输注重组蛋白,治疗性操作,必选
00.12001,一氧化氮疗法,治疗性操作,必选
00.13001,输注人类B型钠尿肽(hBNP),治疗性操作,必选
00.14001,注射噁唑烷酮类抗生素,治疗性操作,必选
00.15001,输注白细胞介素,治疗性操作,必选
00.15002,注射阿地白细胞介素,治疗性操作,必选
00.16001,药物静脉旁路移植加压疗法,治疗性操作,必选
00.16002,经活体外血管治疗,治疗性操作,必选
00.16003,高压移植[引导],治疗性操作,必选
00.17001,灌注血管加压剂,治疗性操作,必选
00.18001,单克隆抗体治疗,治疗性操作,必选
00.18002,多克隆抗体治疗,治疗性操作,必选
00.21002,颈动脉血管内超声(IVUS),诊断性操作,必选
00.21003,颅外脑血管血管内超声(IVUS),诊断性操作,必选
00.22002,胸内血管血管内超声(IVUS),诊断性操作,必选
00.22003,胸主动脉血管内超声(IVUS),诊断性操作,必选
00.23002,周围血管血管内超声(IVUS),诊断性操作,必选
00.23003,臂血管血管内超声(IVUS),诊断性操作,必选
00.23004,腿血管血管内超声(IVUS),诊断性操作,必选
00.24001,冠状动脉血管内超声(IVUS),诊断性操作,必选
00.25002,肾血管血管内超声(IVUS),诊断性操作,必选
00.29001,血管内超声,诊断性操作,必选
00.31001,CT/CTA计算机辅助外科,治疗性操作,必选
00.32001,MR/MRA神经导航辅助外科,治疗性操作,必选
00.33001,荧光透视计算机辅助外科,治疗性操作,必选
00.34001,无显像导航计算机辅助外科,治疗性操作,必选
00.34002,磁导航计算机辅助外科,治疗性操作,必选
00.35001,显像导航计算机辅助外科,治疗性操作,必选
00.40001,单一血管的操作,治疗性操作,必选
00.41001,两支血管的操作,治疗性操作,必选
00.42001,三支血管的操作,治疗性操作,必选
00.43001,四支血管的操作,治疗性操作,必选
00.43002,四支以上血管的操作,治疗性操作,必选
00.44001,血管分叉部位的操作,治疗性操作,必选
00.45001,置入一个血管支架,治疗性操作,必选
00.46001,置入两个血管支架,治疗性操作,必选
00.47001,置入三个血管支架,治疗性操作,必选
00.48001,置入四个血管支架,治疗性操作,必选
00.48002,置入四个以上血管支架,治疗性操作,必选
00.50001,双心室起搏器置入术,治疗性操作,必选
00.50002,心脏再同步起搏器脉冲发生器置入术(全系统)[CRT-P置入术],治疗性操作,必选
00.51001,双心室起搏伴心内除颤器置入术,治疗性操作,必选
00.51002,心脏再同步除颤器脉冲发生器置入术[CRT-D置入术],治疗性操作,必选
00.52001,左心室冠状静脉电极置入术,治疗性操作,必选
00.52002,左心室冠状静脉电极置换术,治疗性操作,必选
00.53002,心脏再同步起搏器脉冲发生器置换术(全系统)[CRT-P置换术],治疗性操作,必选
00.54002,心脏再同步除颤器脉冲发生器置换术[CRT-D置换术],治疗性操作,必选
00.55007,经皮股动脉药物洗脱支架置入术,治疗性操作,必选
00.55008,经皮降主动脉药物洗脱支架置入术,治疗性操作,必选
00.55009,经皮周围动脉药物洗脱支架置入术,治疗性操作,必选
00.55010,经皮周围静脉药物洗脱支架置入术,治疗性操作,必选
00.55011,经皮尺动脉药物洗脱支架置入术,治疗性操作,必选
00.55012,经皮腓动脉药物洗脱支架置入术,治疗性操作,必选
00.55013,经皮肱动脉药物洗脱支架置入术,治疗性操作,必选
00.55014,经皮桡动脉药物洗脱支架置入术,治疗性操作,必选
00.55015,经皮上肢静脉药物洗脱支架置入术,治疗性操作,必选
00.55016,经皮头臂静脉药物洗脱支架置入术,治疗性操作,必选
00.55017,经皮外周动脉可降解支架置入术,治疗性操作,必选
00.55019,经皮锁骨下动脉药物洗脱支架置入术,治疗性操作,必选
00.59001,冠状动脉血流储备分数检查[FFR检查],诊断性操作,必选
00.59002,冠脉瞬时无波形比值检查[iFR检查],诊断性操作,必选
00.59003,冠脉微循环阻力指数检查[IMR检查],诊断性操作,必选
00.61008,经皮颈总动脉球囊扩张成形术,治疗性操作,必选
00.61009,经皮颅外血管成形术,治疗性操作,必选
00.61011,经皮椎动脉球囊扩张成形术,治疗性操作,必选
00.61012,经皮颈静脉球囊扩张成形术,治疗性操作,必选
00.61013,经皮颈动脉球囊扩张成形术,治疗性操作,必选
00.62003,经皮颅内血管成形术,治疗性操作,必选
00.62005,经皮大脑中动脉球囊扩张成形术,治疗性操作,必选
00.62006,经皮基底动脉血管成形术,治疗性操作,必选
00.62007,经皮交通动脉血管成形术,治疗性操作,必选
00.63004,经皮颈动脉支架置入术,治疗性操作,必选
00.63005,经皮颈动脉远端保护装置置入术,治疗性操作,必选
00.63006,经皮颈动脉覆膜支架置入术,治疗性操作,必选
00.63007,经皮颈动脉药物洗脱支架置入术,治疗性操作,必选
00.64007,经皮基底动脉支架置入术,治疗性操作,必选
00.64009,经皮椎动脉支架置入术,治疗性操作,必选
00.64012,经皮颅外远端保护装置置入术,治疗性操作,必选
00.64013,经皮椎动脉药物洗脱支架置入术,治疗性操作,必选
00.65006,经皮大脑中动脉支架置入术,治疗性操作,必选
00.65008,经皮颅内动脉支架置入术,治疗性操作,必选
00.65009,经皮颅内血管支架置入术,治疗性操作,必选
00.65010,经皮颅内动脉远端保护装置置入术,治疗性操作,必选
00.66003,经皮冠状血管成形术,治疗性操作,必选
00.66004,经皮冠状动脉球囊扩张成形术,治疗性操作,必选
00.66008,经皮冠状动脉药物球囊扩张成形术,治疗性操作,必选
00.67001,胸腔内动脉血管内压力测量,诊断性操作,必选
00.68001,肢体动脉压测量,诊断性操作,必选
00.68002,周围动脉血管内压力测量,诊断性操作,必选
00.70001,髋关节假体翻修术,,必选
00.71001,髋臼假体翻修术,,必选
00.72001,髋关节股骨假体翻修术,,必选
00.74001,金属-聚乙烯髋关节置换,,必选
00.75001,金属-金属髋关节置换,,必选
00.76001,陶瓷-陶瓷髋关节置换,,必选
00.77001,陶瓷-聚乙烯髋关节置换,,必选
00.80001,全膝关节假体翻修术,,必选
00.81001,膝关节胫骨假体翻修术,,必选
00.82001,膝关节股骨假体翻修术,,必选
00.83001,膝关节髌骨假体翻修术,,必选
00.85001,全髋关节表面置换术,,必选
00.86001,股骨头表面置换术,,必选
00.87001,髋臼表面置换术,,必选
00.91001,与供者有血缘关系的活体移植,,必选
00.92001,与供者无血缘关系的活体移植,,必选
00.93001,来源于尸体的移植,,必选
00.94001,术中神经生理监测,,必选
01.01001,脑池穿刺术,治疗性操作,必选
01.01002,小脑延髓池穿刺术,治疗性操作,必选
01.02001,经脑室分流导管脑室穿刺术,治疗性操作,必选
01.09002,脑室穿刺术,治疗性操作,必选
01.09003,前囟门穿刺术,治疗性操作,必选
01.09004,硬脑膜下腔穿刺抽吸术,治疗性操作,必选
01.10001,颅压监护探极置入术,,必选
01.11001,经皮脑膜活检,诊断性操作,必选
01.12001,直视下脑膜活检术,,必选
01.13001,经皮脑活检,诊断性操作,必选
01.13002,立体定向脑活检,诊断性操作,必选
01.14001,直视下脑活检术,,必选
01.15001,颅骨活检术,,必选
01.18002,神经内镜检查术,,必选
01.21001,颅静脉窦切开修补术,,必选
01.22001,颅内神经电刺激器去除术,,必选
01.23001,颅骨原切口再切开术,,必选
01.24005,开颅探查术,,必选
01.24006,颅骨切除减压术,,必选
01.24007,颅骨钻孔减压术,,必选
01.24009,颅内脓肿引流术,,必选
01.24013,硬脑膜外血肿清除术,,必选
01.24014,硬脑膜外脓肿清除术,,必选
01.24017,颅骨切开异物取出术,,必选
01.24018,硬脑膜切开术,,必选
01.24019,硬脑膜外切开引流术,,必选
01.24021,颅骨钻孔探查术,,必选
01.25002,颅骨部分切除术,,必选
01.25003,颅骨清创术,,必选
01.25004,颅骨死骨切除术,,必选
01.25007,茎突截除术,,必选
01.25008,颞骨部分切除术,,必选
01.31002,脑膜切开伴蛛网膜下腔血肿引流术,,必选
01.31003,脑膜切开伴硬脑膜下脓肿引流术,,必选
01.31004,脑膜切开伴硬脑膜下腔血肿清除术,,必选
01.31005,脑膜切开伴蛛网膜下腔脓肿引流术,,必选
01.31008,硬脑膜下钻孔引流术,,必选
01.32002,脑叶切开术,,必选
01.32003,脑神经束切断术,,必选
01.32004,经皮扣带回切断术,,必选
01.32005,脑胼胝体切开术,,必选
01.32006,延髓束切断术,,必选
01.39001,脑膜切开引流术,,必选
01.39002,脑白质切开术,,必选
01.39003,颅内血肿硬通道穿刺引流术,,必选
01.39004,脑内异物取出术,,必选
01.39007,脑切开术,,必选
01.39008,脑室切开引流术,,必选
01.39009,脑内血肿清除术,,必选
01.39010,杏仁核海马切开术,,必选
01.39011,经颞叶脑内血肿清除术,,必选
01.39012,经外侧裂脑内血肿清除术,,必选
01.39013,立体定向颅内血肿穿刺引流术,,必选
01.39014,神经内镜下脑内血肿引流术,,必选
01.39015,脑室钻孔引流术,,必选
01.39016,脑脓肿穿刺引流术,,必选
01.41001,丘脑化学破坏术,,必选
01.41002,丘脑切开术,,必选
01.41003,丘脑射频治疗术,,必选
01.42001,苍白球切开术,,必选
01.42002,苍白球射频毁损术,,必选
01.51001,开颅蛛网膜剥离术,,必选
01.51002,脑膜病损切除术,,必选
01.51004,蛛网膜病损切除术,,必选
01.51006,大脑镰脑膜病损切除术,,必选
01.51007,小脑幕脑膜病损切除术,,必选
01.52001,大脑半球切除术,,必选
01.53001,额叶切除术,,必选
01.53003,颞叶切除术,,必选
01.59001,鞍区病损切除术,,必选
01.59002,侧脑室病损切除术,,必选
01.59003,大脑病损切除术,,必选
01.59004,大脑清创术,,必选
01.59005,第三脑室病损切除术,,必选
01.59006,第四脑室病损切除术,,必选
01.59007,顶叶病损切除术,,必选
01.59008,额叶病损切除术,,必选
01.59009,海绵窦病损切除术,,必选
01.59010,经蝶窦脑病损切除术,,必选
01.59012,经顶脑病损切除术,,必选
01.59013,经额脑病损切除术,,必选
01.59014,经颞脑病损切除术,,必选
01.59016,经翼点脑病损切除术,,必选
01.59017,经枕脑病损切除术,,必选
01.59019,颅底病损切除术,,必选
01.59020,脑干病损切除术,,必选
01.59021,脑囊肿造袋术,,必选
01.59022,多个脑室病损切除术,,必选
01.59025,胼胝体病损切除术,,必选
01.59028,小脑半球病损切除术,,必选
01.59029,小脑蚓部病损切除术,,必选
01.59030,中颅窝病损切除术,,必选
01.59031,后颅窝病损切除术,,必选
01.59032,颈静脉孔病损切除术,,必选
01.59033,立体定向脑病损切除术,,必选
01.59034,斜坡病损切除术,,必选
01.59035,枕叶病损切除术,,必选
01.59036,海马杏仁核切除术,,必选
01.59037,大脑半球病损切除术,,必选
01.59038,大脑深部病损切除术,,必选
01.59039,岛叶病损切除术,,必选
01.59040,蝶鞍旁病损切除术,,必选
01.59041,额颞岛叶病损切除术,,必选
01.59042,小脑扁桃体部分切除术,,必选
01.59043,小脑病损切除术,,必选
01.59044,小脑桥脑角病损切除术,,必选
01.59045,颞叶病损切除术,,必选
01.59046,桥脑小脑角病损切除术,,必选
01.59047,丘脑病损切除术,,必选
01.59048,岩斜区病损切除术,,必选
01.59049,枕骨大孔区病损切除术,,必选
01.59050,神经内镜下脑室病损切除术,,必选
01.6 001,颅骨病损切除术,,必选
01.6 002,颅骨肉芽肿切除术,,必选
02.01001,颅缝切开术,,必选
02.01002,线形颅骨切除术,,必选
02.01003,条带状颅骨切除术,,必选
02.02001,颅骨骨折复位术,,必选
02.02002,颅骨骨折减压术,,必选
02.02003,颅骨骨折清创术,,必选
02.03001,颅骨骨瓣修补术,,必选
02.04001,颅骨骨移植术,,必选
02.04003,颅骨骨膜移植术,,必选
02.05002,颅骨钛板置入术,,必选
02.05004,颅骨硅橡胶板置入术,,必选
02.05005,颅骨有机玻璃板置入术,,必选
02.06003,颅骨修补术,,必选
02.07001,颅骨金属板去除术,,必选
02.11001,硬脑膜缝合术,,必选
02.12001,脑脊液鼻瘘修补术,,必选
02.12005,脑脊液耳瘘修补术,,必选
02.12006,脑脊液切口瘘修补术,,必选
02.12007,脑膜膨出修补术[还纳术],,必选
02.12009,人工硬脑膜补片修补术,,必选
02.12010,神经内镜下经鼻腔脑脊液鼻漏修补术,,必选
02.13001,脑膜血管结扎术,,必选
02.14001,脉络丛切除术,,必选
02.14002,脉络丛烧灼术,,必选
02.21001,Ommaya囊置入术,,必选
02.21002,脑室导管置换术,,必选
02.22001,神经内镜下第三脑室底造瘘术,,必选
02.22002,脑室-脑池分流术,,必选
02.22003,脑室-蛛网膜下腔分流术,,必选
02.22004,脑室-小脑延髓池分流术[Torkildsen手术],,必选
02.22005,脑室-静脉窦分流术,,必选
02.31001,脑室-鼻咽分流术,,必选
02.31002,脑室-乳突分流术,,必选
02.32001,脑室-颈外静脉分流术,,必选
